"",".id","label","variable","value"
"1","Month","Month","April","1951 (8.43%)"
"2","Month","Month","Aug","1894 (8.18%)"
"3","Month","Month","Dec","1981 (8.55%)"
"4","Month","Month","Feb","1756 (7.58%)"
"5","Month","Month","Jan","1816 (7.84%)"
"6","Month","Month","July","1723 (7.44%)"
"7","Month","Month","June","2102 (9.08%)"
"8","Month","Month","March","2169 (9.37%)"
"9","Month","Month","May","2175 (9.39%)"
"10","Month","Month","Nov","1890 (8.16%)"
"11","Month","Month","Oct","1717 (7.41%)"
"12","Month","Month","Sept","1983 (8.56%)"
"13","A.Day","A.Day","Fri","4689 (20.25%)"
"14","A.Day","A.Day","Mon","4855 (20.97%)"
"15","A.Day","A.Day","Thu","4466 (19.29%)"
"16","A.Day","A.Day","Tue","4476 (19.33%)"
"17","A.Day","A.Day","Wed","4671 (20.17%)"
"18","A.Hr","A.Hr","Min / Max","0 / 23.0"
"19","A.Hr","A.Hr","Med [IQR]","13.0 [9.0;18.0]"
"20","A.Hr","A.Hr","Mean (std)","13.2 (6.1)"
"21","A.Hr","A.Hr","N (NA)","23157 (0)"
"22","A.shift","A.shift","Shift 1","4201 (18.14%)"
"23","A.shift","A.shift","Shift 2","9619 (41.54%)"
"24","A.shift","A.shift","Shift 3","9337 (40.32%)"
"25","W.FP","W.FP","Min / Max","0 / 4.0"
"26","W.FP","W.FP","Med [IQR]","0.1 [0;1.0]"
"27","W.FP","W.FP","Mean (std)","0.5 (0.7)"
"28","W.FP","W.FP","N (NA)","23157 (0)"
"29","ESI","ESI","ESI Level 1","270 (1.17%)"
"30","ESI","ESI","ESI Level 2","4405 (19.02%)"
"31","ESI","ESI","ESI Level 3","13588 (58.68%)"
"32","ESI","ESI","ESI Level 4","4710 (20.34%)"
"33","ESI","ESI","ESI Level 5","184 (0.79%)"
"34","sex","sex","F","11541 (49.84%)"
"35","sex","sex","M","11616 (50.16%)"
"36","Age.Group","Age.Group","21< Age<65","11556 (49.90%)"
"37","Age.Group","Age.Group","65 or older","5824 (25.15%)"
"38","Age.Group","Age.Group","Lower or EQ 21 ","5777 (24.95%)"
"39","EDLevel","EDLevel"," EMERG DEPT - LEVEL 1","106 (0.46%)"
"40","EDLevel","EDLevel"," EMERG DEPT - LEVEL 2","1266 (5.47%)"
"41","EDLevel","EDLevel"," EMERG DEPT - LEVEL 3","7987 (34.49%)"
"42","EDLevel","EDLevel"," EMERG DEPT - LEVEL 4","6502 (28.08%)"
"43","EDLevel","EDLevel"," EMERG DEPT - LEVEL 5","6851 (29.59%)"
"44","EDLevel","EDLevel","EMER DEPT - CRITICAL CARE","445 (1.92%)"
"45","Pat_count","Pat_count","Min / Max","0 / 38.0"
"46","Pat_count","Pat_count","Med [IQR]","2.0 [0;6.0]"
"47","Pat_count","Pat_count","Mean (std)","3.6 (4.2)"
"48","Pat_count","Pat_count","N (NA)","23157 (0)"
"49","D.type","D.type","Discharge","17445 (75.33%)"
"50","D.type","D.type","Hospital Observation","1921 (8.30%)"
"51","D.type","D.type","Inpatient Admission","3791 (16.37%)"
"52","T.arrive","T.arrive","        Walk in","13053 (56.37%)"
"53","T.arrive","T.arrive","       Wheelchair","4532 (19.57%)"
"54","T.arrive","T.arrive"," Ambulance","5572 (24.06%)"
"55","PP_MD","PP_MD","Min / Max","3.6 / 54.3"
"56","PP_MD","PP_MD","Med [IQR]","11.1 [9.4;13.2]"
"57","PP_MD","PP_MD","Mean (std)","11.6 (3.4)"
"58","PP_MD","PP_MD","N (NA)","23157 (0)"
"59","PP_N","PP_N","Min / Max","0.4 / 24.0"
"60","PP_N","PP_N","Med [IQR]","1.5 [1.3;1.7]"
"61","PP_N","PP_N","Mean (std)","1.5 (0.5)"
"62","PP_N","PP_N","N (NA)","23157 (0)"
"63","PP_R","PP_R","Min / Max","1.1 / 38.4"
"64","PP_R","PP_R","Med [IQR]","4.6 [3.9;5.5]"
"65","PP_R","PP_R","Mean (std)","4.9 (2.0)"
"66","PP_R","PP_R","N (NA)","23157 (0)"
"67","FirstWard","FirstWard","CENTER1","5874 (25.37%)"
"68","FirstWard","FirstWard","CENTER2","4856 (20.97%)"
"69","FirstWard","FirstWard","EAST","2499 (10.79%)"
"70","FirstWard","FirstWard","PEDS","4793 (20.70%)"
"71","FirstWard","FirstWard","WEST","5135 (22.17%)"
"72","W.Change","W.Change","NO","23035 (99.47%)"
"73","W.Change","W.Change","YES","122 (0.53%)"
"74","LOS_binary","LOS_binary","Yes","0 (0%)"
"75","LOS_binary","LOS_binary","No","23157 (100.00%)"
