"",".id","label","variable","value"
"1","Month","Month","April","1483 (7.68%)"
"2","Month","Month","Aug","1997 (10.34%)"
"3","Month","Month","Dec","1606 (8.32%)"
"4","Month","Month","Feb","1464 (7.58%)"
"5","Month","Month","Jan","1208 (6.26%)"
"6","Month","Month","July","1773 (9.18%)"
"7","Month","Month","June","1641 (8.50%)"
"8","Month","Month","March","1561 (8.09%)"
"9","Month","Month","May","1501 (7.78%)"
"10","Month","Month","Nov","1651 (8.55%)"
"11","Month","Month","Oct","1595 (8.26%)"
"12","Month","Month","Sept","1825 (9.45%)"
"13","A.Day","A.Day","Fri","3646 (18.89%)"
"14","A.Day","A.Day","Mon","4257 (22.05%)"
"15","A.Day","A.Day","Thu","3739 (19.37%)"
"16","A.Day","A.Day","Tue","3961 (20.52%)"
"17","A.Day","A.Day","Wed","3702 (19.18%)"
"18","A.Hr","A.Hr","Min / Max","0 / 23.0"
"19","A.Hr","A.Hr","Med [IQR]","14.0 [10.0;17.0]"
"20","A.Hr","A.Hr","Mean (std)","13.5 (5.1)"
"21","A.Hr","A.Hr","N (NA)","19305 (0)"
"22","A.shift","A.shift","Shift 1","2207 (11.43%)"
"23","A.shift","A.shift","Shift 2","9883 (51.19%)"
"24","A.shift","A.shift","Shift 3","7215 (37.37%)"
"25","W.FP","W.FP","Min / Max","0 / 9.2"
"26","W.FP","W.FP","Med [IQR]","0.9 [0.1;2.0]"
"27","W.FP","W.FP","Mean (std)","1.3 (1.5)"
"28","W.FP","W.FP","N (NA)","19305 (0)"
"29","ESI","ESI","ESI Level 1","90 (0.47%)"
"30","ESI","ESI","ESI Level 2","3805 (19.71%)"
"31","ESI","ESI","ESI Level 3","13552 (70.20%)"
"32","ESI","ESI","ESI Level 4","1819 (9.42%)"
"33","ESI","ESI","ESI Level 5","39 (0.20%)"
"34","sex","sex","F","10517 (54.48%)"
"35","sex","sex","M","8788 (45.52%)"
"36","Age.Group","Age.Group","21< Age<65","10504 (54.41%)"
"37","Age.Group","Age.Group","65 or older","7337 (38.01%)"
"38","Age.Group","Age.Group","Lower or EQ 21 ","1464 (7.58%)"
"39","EDLevel","EDLevel"," EMERG DEPT - LEVEL 1","6 (0.03%)"
"40","EDLevel","EDLevel"," EMERG DEPT - LEVEL 2","143 (0.74%)"
"41","EDLevel","EDLevel"," EMERG DEPT - LEVEL 3","2119 (10.98%)"
"42","EDLevel","EDLevel"," EMERG DEPT - LEVEL 4","6437 (33.34%)"
"43","EDLevel","EDLevel"," EMERG DEPT - LEVEL 5","10443 (54.09%)"
"44","EDLevel","EDLevel","EMER DEPT - CRITICAL CARE","157 (0.81%)"
"45","Pat_count","Pat_count","Min / Max","0 / 37.0"
"46","Pat_count","Pat_count","Med [IQR]","6.0 [3.0;9.0]"
"47","Pat_count","Pat_count","Mean (std)","6.6 (4.7)"
"48","Pat_count","Pat_count","N (NA)","19305 (0)"
"49","D.type","D.type","Discharge","10414 (53.94%)"
"50","D.type","D.type","Hospital Observation","3368 (17.45%)"
"51","D.type","D.type","Inpatient Admission","5523 (28.61%)"
"52","T.arrive","T.arrive","        Walk in","8309 (43.04%)"
"53","T.arrive","T.arrive","       Wheelchair","5933 (30.73%)"
"54","T.arrive","T.arrive"," Ambulance","5063 (26.23%)"
"55","PP_MD","PP_MD","Min / Max","4.5 / 44.4"
"56","PP_MD","PP_MD","Med [IQR]","12.3 [10.6;14.2]"
"57","PP_MD","PP_MD","Mean (std)","12.5 (2.8)"
"58","PP_MD","PP_MD","N (NA)","19305 (0)"
"59","PP_N","PP_N","Min / Max","0.6 / 14.8"
"60","PP_N","PP_N","Med [IQR]","1.6 [1.4;1.9]"
"61","PP_N","PP_N","Mean (std)","1.7 (0.4)"
"62","PP_N","PP_N","N (NA)","19305 (0)"
"63","PP_R","PP_R","Min / Max","1.5 / 27.7"
"64","PP_R","PP_R","Med [IQR]","5.0 [4.3;5.9]"
"65","PP_R","PP_R","Mean (std)","5.2 (1.6)"
"66","PP_R","PP_R","N (NA)","19305 (0)"
"67","FirstWard","FirstWard","CENTER1","5454 (28.25%)"
"68","FirstWard","FirstWard","CENTER2","5055 (26.18%)"
"69","FirstWard","FirstWard","EAST","2428 (12.58%)"
"70","FirstWard","FirstWard","PEDS","1028 (5.33%)"
"71","FirstWard","FirstWard","WEST","5340 (27.66%)"
"72","W.Change","W.Change","NO","18994 (98.39%)"
"73","W.Change","W.Change","YES","311 (1.61%)"
"74","LOS_binary","LOS_binary","Yes","19305 (100.00%)"
"75","LOS_binary","LOS_binary","No","0 (0%)"
